06-28 07:23:56.879 192.168.86.130:54325  8826   #r thread INFO: ----- H2O started  -----
06-28 07:23:56.899 192.168.86.130:54325  8826   #r thread INFO: OS version: Linux 4.8.0-56-generic (amd64)
06-28 07:23:56.899 192.168.86.130:54325  8826   #r thread INFO: Machine physical memory: 7.78 GB
06-28 07:23:56.900 192.168.86.130:54325  8826   #r thread INFO: X-h2o-cluster-id: 1498659834177
06-28 07:23:56.900 192.168.86.130:54325  8826   #r thread INFO: User name: 'andrea'
06-28 07:23:56.900 192.168.86.130:54325  8826   #r thread INFO: Opted out of sending usage metrics.
06-28 07:23:56.900 192.168.86.130:54325  8826   #r thread INFO: IPv6 stack selected: false
06-28 07:23:56.900 192.168.86.130:54325  8826   #r thread INFO: Possible IP Address: ens33 (ens33), fe80:0:0:0:3c5d:188:4945:7912%ens33
06-28 07:23:56.900 192.168.86.130:54325  8826   #r thread INFO: Possible IP Address: ens33 (ens33), 192.168.86.130
06-28 07:23:56.901 192.168.86.130:54325  8826   #r thread INFO: Possible IP Address: lo (lo), 0:0:0:0:0:0:0:1%lo
06-28 07:23:56.902 192.168.86.130:54325  8826   #r thread INFO: Possible IP Address: lo (lo), 127.0.0.1
06-28 07:23:56.902 192.168.86.130:54325  8826   #r thread INFO: H2O node running in unencrypted mode.
06-28 07:23:56.910 192.168.86.130:54325  8826   #r thread INFO: Internal communication uses port: 54326
06-28 07:23:56.910 192.168.86.130:54325  8826   #r thread INFO: Listening for HTTP and REST traffic on http://192.168.86.130:54325/
06-28 07:23:56.955 192.168.86.130:54325  8826   #r thread INFO: H2O cloud name: 'sparkling-water-andrea_local-1498659833569' on /192.168.86.130:54325, discovery address /230.71.146.158:58951
06-28 07:23:56.955 192.168.86.130:54325  8826   #r thread INFO: If you have trouble connecting, try SSH tunneling from your local machine (e.g., via port 55555):
06-28 07:23:56.955 192.168.86.130:54325  8826   #r thread INFO:   1. Open a terminal and run 'ssh -L 55555:localhost:54325 andrea@192.168.86.130'
06-28 07:23:56.955 192.168.86.130:54325  8826   #r thread INFO:   2. Point your browser to http://localhost:55555
06-28 07:23:57.092 192.168.86.130:54325  8826   #r thread INFO: Log dir: '/home/andrea/IdeaProjects/h20prova/h2ologs/local-1498659833569'
06-28 07:23:57.092 192.168.86.130:54325  8826   #r thread INFO: Cur dir: '/home/andrea/IdeaProjects/h20prova'
06-28 07:23:57.108 192.168.86.130:54325  8826   #r thread INFO: HDFS subsystem successfully initialized
06-28 07:23:57.117 192.168.86.130:54325  8826   #r thread INFO: S3 subsystem successfully initialized
06-28 07:23:57.117 192.168.86.130:54325  8826   #r thread INFO: Flow dir: '/home/andrea/h2oflows'
06-28 07:23:57.142 192.168.86.130:54325  8826   #r thread INFO: Cloud of size 1 formed [192.168.86.130/192.168.86.130:54325]
06-28 07:23:57.181 192.168.86.130:54325  8826   #r thread INFO: Registered parsers: [GUESS, ARFF, XLS, SVMLight, AVRO, ORC, PARQUET, CSV]
06-28 07:23:57.182 192.168.86.130:54325  8826   #r thread INFO: Watchdog extension initialized
06-28 07:23:57.182 192.168.86.130:54325  8826   #r thread INFO: Registered 1 core extensions in: 1ms
06-28 07:23:57.186 192.168.86.130:54325  8826   #r thread INFO: Registered H2O core extensions: [Watchdog]
06-28 07:23:57.938 192.168.86.130:54325  8826   #r thread INFO: Registered: 155 REST APIs in: 752ms
06-28 07:23:57.939 192.168.86.130:54325  8826   #r thread INFO: Registered REST API extensions: [XGBoost, water.api.RegisterResourceRoots, Core V3, Core V4, Algos]
06-28 07:23:58.244 192.168.86.130:54325  8826   #r thread INFO: Registered: 230 schemas in 305ms
06-28 07:23:58.248 192.168.86.130:54325  8826   #r thread INFO: H2O started in 1932ms
06-28 07:23:58.249 192.168.86.130:54325  8826   #r thread INFO: 
06-28 07:23:58.249 192.168.86.130:54325  8826   #r thread INFO: Open H2O Flow in your web browser: http://192.168.86.130:54325
06-28 07:23:58.249 192.168.86.130:54325  8826   #r thread INFO: 
